,Organisation,NGO Listing Page,Classified Category,Registration ID,Year of Foundation,Address,Telephone,Mobile,Email,Website,Twitter,Facebook,Description,Activities,Name in Myanmese,Further Links
35,Chin Human Rights Organization (Aizawl),https://ngo.mycitizen.net/directory/listing/chin-human-rights-organization-aizawl,Human Rights/Capacity Building/Research,NA,1995,"Aizawl, Mizoram, India",NA,NA,NA,http://www.chro.ca,NA,NA,"Chin Human Rights organization (CHRO) is a non-governmental non-profit organization legally registered in Canada with branch offices in India, Thailand and in the United States.Formed in 1995 by a group of Chin activists who began monitoring human rights situation in the Chin State and in Western Burma along the borders with India and Bangladesh, the CHRO has grown from a small organization to a well-respected and professionally managed human rights organization. The organization aims to promote and protect the rights of Chin people by educating and empowering them through training/workshops and also through advocacy work. The population served includes Chin in the Chin state, Burma, as well as Chin refugees living in India and Malaysia.",Human Rights Training Manual in Chin Language,NA,http://www.mikrogranty.cz/burma/all-projects/publication-of-human-rights-training-manual.html
36,Mizo Welfare Organization,https://ngo.mycitizen.net/directory/listing/mizo-welfare-organization,Advocacy,NA,2007,"Aizawl, Mizoram",NA,NA,NA,NA,NA,NA,"Mizo Welfare Organization (MWO) was founded in October, 2007 to support the welfare of the Burmese people, promote and protect their culture, improve awareness of human rights and democracy, and unify people living in the Kabaw Valley in Burma as well as community members living in Mizoram. MWO seeks to instill democratic values in Burmese refugees through capacity building and thus to promote democratic transition in Burma. The organization aims to further support women and youth in particular, and to help develop the community as a whole.",Women’s Rights Campaign,NA,http://www.mikrogranty.cz/burma/all-projects/women-s-rights-awareness.html
37,Chin Student Union (CSU),https://ngo.mycitizen.net/directory/listing/chin-student-union-csu,Education,NA,1946,"New Delhi, Delhi, India",NA,NA,NA,NA,NA,NA,"The Chin Student Union was formed in 1946, by a few Chin students at the Rangoon University, to participate in the movement to achieve independence from the British Empire. After the student uprising in Burma on August 8, 1988, leaders were exiled to India and the organization was reformed in 1995. The Chin Student Union’s aims and objectives include helping with the educational and social problems of the Chin people; preserving and promoting the Chin literature, culture, and tradition; and advocating for equality and self-determination in the Union of Burma together with other ethnic organizations.The CSU helps Burmese students and youth to get admission to Indian schools, colleges, and universities. It has organized workshops, trainings, and other activities for Burmese refugees in Delhi. CSC has also collaborated with Tibetan Student Union and Indian Student Union to help Burmese people get access to education in India. The organization serves Burmese refugees all over India and networks with student groups inside as well as outside of Burma.",Seminar for Burmese Youths to inform them about education opportunities at universities and colleges in India.,NA,http://www.mikrogranty.cz/burma/all-projects/university-counseling-seminar.html
38,Chin Refugee Committee,https://ngo.mycitizen.net/directory/listing/chin-refugee-committee,Education/Health/Livelihood and Food Security,NA,1996,"West Delhi, Delhi, India",NA,NA,NA,NA,NA,NA,"Chin Refugee Committee Delhi was established in January 1996 by the Chin people who had fled from persecution in Burma. Since then, CRC has worked to address the problems Chin refugees and asylum seekers face in India.CRC is a community based organization run by 22 members, each representing the different Chin communities of Delhi. The organization aims to look into the affairs of the Chin community and provide relief and assistance in regards to health, education and development of the Chin refugees in Delhi.CRC also endeavors to bring international attention to the situation of the Chin refugees as well as advocating with the UNHCR for legal and financial assistance for refugees.","Counselling, social services2013: Video documentation about refugee lives in Delhi",NA,http://www.mikrogranty.cz/burma/all-projects/documenting-lives-of-refugees-in-delhi.html
39,Zomi Women Union,https://ngo.mycitizen.net/directory/listing/zomi-women-union,Education/Children/Women,NA,2004,"West Delhi, Delhi, India",NA,NA,NA,NA,NA,NA,The aims and activities of the organization are promoting the education and rights of women and children.,2013: training for refugee women,NA,http://www.mikrogranty.cz/burma/all-projects/home-industries.html
40,Delhi Burmese Christian Fellowship,https://ngo.mycitizen.net/directory/listing/delhi-burmese-christian-fellowship,Education,NA,1992,"Janakpuri, New Delhi, Delhi, India",NA,NA,NA,NA,NA,NA,–,since 2011: school for Burmese children in India.,NA,http://www.mikrogranty.cz/burma/all-projects/dbcf-school.html
41,Radanar Ayar Rural Development Association,https://ngo.mycitizen.net/directory/listing/radanar-ayar-rural-development-association,Livelihood and Food Security/Rural Development/Development Aid/Health,NA,NA,"Bogale, Ayeyarwady, Myanmar",+95-45-45 837,+95-9-4959 0446~ 0448,info@radanarayar.org,http://www.radanarayar.org,http://twitter.com/ThuraAungMSc,http://www.facebook.com/RadanarAyarAssociation,"Poverty reduction by offering an enabling environment to all stakeholders through improved governance and environmentally feasible for the right-livelihood interventions and Partnership building at all levels will supplement and ensure the goal of sustainable development which is socially, environmentally, politically and legally feasible missions of emergency and development conditions.","Thematic Areas of WorkSustainable AgricultureCSO Strengthening Initiatives Disaster Managements (Preparedness and Responses) Private and Public Partnerships Non Formal EducationPrimary Health CarePlanned for Future ActivitiesCommunity Physical infrastructure projects Primary Health CareHIV/AIDS Prevention, Care and SupportSustainable Natural Resource ManagementEducation and Literacy projectsHuman/ Labor rightsPoverty alleviation through micro credit, enterprise development& skill development initiativesAwareness, education and advocacy through (documentaries, theaters, printedmaterial, seminars and workshops) Institutional DevelopmentRadanar Ayar is a growing organization and has been passed through the phase of consolidation, organizational development. The organization has been certified by Transparency under Euro parliamentary and Euro Commission and General Consultative Status to United Nations Economic and Social Section (ECOSOC-UN).Partnerships and NetworkingRadanar Ayar signed several Memoranda for the Basic Agreements for cooperation with the following Institutions and Agencies.United Nations Office for the Project Services – carry out LIFT fund ( a multi donors fund for poverty alleviation)Badeidha Moe CSO- a Woman Led Organisation carry out civil society strengthening initiatives and basic protections and right-based matters including women and child rights interventions.Sphere Project Office in Geneva- carry out Sphere Minimum standards and disseminations of Humanitarian charter and Minimum Standards in Humanitarian Responses and Sphere training service for the improvements of disaster managements in Humanitarian Contacts.Save the Children’s Fund- for civil society strengthening initiatives carried out that supports on cooperation and better coordination mechanism in both local and at national levels.United Nations Office for the Co ordinations of Humanitarian Affairs (UN OCHA)- closed contacts for the Myanmar Information Management Unit (MiMU) and general contacts for Humanitarian actions in Myanmar.Professional and Network, Working Groups MembershipMyanmar NGO Network (MNN)- member organisation to MNN since 2009 and active body in general consultations of development and humanitarian coordination.Accountability and Learning Working Group (ALWG)- actively involved in better focus on learning and sharing of accountability and transparency practices, lesson learnt, sharing experiences on Complaint, Feed Back and Responses Mechanism . Better cooperation in strategic actions developments and capacity enhancement events.Myanmar NGO Consortium on DRR- MNC-DRR- coordinating body of the disaster risk reduction and disaster preparedness sectors in collaboration with Expatriates Groups and such Agencies.DRR Working Group (DRRWG)- member agency of the Disaster Risk Reductions and closed coordination with Department of Relief and Resettlements under the Ministry of Social Welfare, Relief and Resettlement, Asian Disaster Preparedness Center (ADPC) and UN Treaty Bodies and Leads to IASC- United Nations Development Programme (UNDP) and Unicef.Signing to Global Initiatives",ရတနာဧရာ ကျေးလက်ဒေသလူမှုဖွံ့ဖြိုးတိုးတက်ရေးအသင်း,NA
42,Kuki Women's Human Rights Organization (Burma) (KWHRO),https://ngo.mycitizen.net/directory/listing/kuki-womens-human-rights-organization-burma-kwhro,Women/Capacity Building/Peace Promotion/Reproductive Health,NA,NA,"Ward No. 2, Moreh, Chandel District, Manipur, India","+913872264568, +919436872556",NA,kwhro2013@gmail.com,NA,NA,NA,"Mission: to work for women empowerment, to work for increased participation of women in politics & peace reconciliation process in Burmareproductive training,peace training & awareness program,women against violence program (discussion)political awareness & discussion,field work (inside Burma)",6th conference of KWHROpress conference on Thamanti Dam,NA,NA
43,BusinessKind Myanmar,https://ngo.mycitizen.net/directory/listing/businesskind-myanmar,Children/Women/Social Business,NA,NA,"Dr. Helen Gunthorpe, International Director, Room - 37, Building 1, 4 Floor, Civil Development Building (North) 8 mile junction, Corner of Pyay Rd. and Kabaraye Pagoda Rd., Mayangone Township, Yangon, Myanmar",NA,"09- 7321 4887, 09- 8 624 625, 09- 500 40 60",cathywin@gmail.com,NA,NA,NA,"BusinessKind-Myanmar (BK-M) is a small non-profit NGO based in Yangon, Myanmar. Its mission is to develop small community based neutral profit businesses that produce affordable products that improve the daily living conditions of poor people. BKM is operating by women for women.Factory Address#A1, Hti Hlaing Shin Housing, Kyan-sit-thar Road,Hlaing Tharyar Township, Yangon, Myanmar.Tel: 09- 7321 4887, 09- 8 624 625, 09- 500 40 60","BKM Directed Social BusinessesGoodSleep: Neutral-profit Community Based Bed Net BusinessGoodNight: Neutral-profit Community Based Citronella Candle BusinessGoodJob: Industrial sewing training and garment factory job vetting and mentoring programMoe Thauk Pan High School Boarding Home in Latbutta (Delta)These businesses are managed and operated by women most of whom are women living with HIV-AIDS.Grant WorkOver the past 3 years I have managed the equivalent of $109,000 of grant work.ExistingMobilization of Garment Workers and Factory Owners(United States Embassy – $41,000) CompletedGood Job – Income generation for Cyclone Nargis’s vulnerable women (ACTED)Community based malaria/dengue fever prevention/education project (French Embassy)Community based malaria/dengue fever prevention/education project, distribution of bed net and citronella candle making business (International Rescue Committee- IRC)Children Dental Health Fluoride application Project (Burnet Institute)Community based malaria/Dengue Fever Prevention/education project, distribution of bed net and set up of citronella candle making business in Hlaing Tharyar (United States Embassy)Malaria/Dengue Fever Prevention, ITNs bed net production and distribution and Industrial Sewing Skill Training and link with employment for community women (British Embassy)",NA,NA
44,Karuna Myanmar Social Services (KMSS),https://ngo.mycitizen.net/directory/listing/karuna-myanmar-social-services-kmss,"Education/Children/Women/Water, Sanitation and Hygiene (WASH)/Disaster risk reduction (DRR)/HIV/AIDS/Internally Displaced Persons (IDPs)",NA,NA,"No.292(A), Pyay Road, Sanchaung Township, Yangon",NA,NA,NA,NA,NA,NA,To serve the poor and the needy by motivating and empowering them towards quality and dignity of life based on the social teachings of the Church.,"Livelihoods, IDPs (Kachin, Shan), Health(HIV/AIDS), WASH (IDP Camps), Shelter (IDP Camps), Education (Scholarship, Kindergarten), DRR and Protection (Children and Women)",NA,NA
45,Austrian Burma Center,https://ngo.mycitizen.net/directory/listing/austrian-burma-center,Advocacy/Development Aid/Human Rights/Refugees/Women,NA,2005,"Vienna, Austria",NA,+43-68120886499,info@austrianburmacenter.at,http://www.austrianburmacenter.at,NA,NA,Human RightsRefugee SupportDevelopment Assistance,‘jute dreams’Income generation project for Chin refugee women in New Delhi.Attractive jute gift bags for Europa. Please order.,NA,NA
46,Burma Aktion,https://ngo.mycitizen.net/directory/listing/burma-aktion,Advocacy/Human Rights/Media,NA,2007,"Essen, Germany",NA,NA,kontakt@burmaaktion.de.vu,http://burmaaktion.de.vu/,NA,NA,"It is our aim to inform the general public, media and the German government about the true situation in Burma. To understand the present-day situation and problems it is essential to know about Burma’s history.It is our clear aim to struggle for a real democracy, equality of all ethnic people, an end of racism, human-rights discrimination and the civil-wars against the ethnic minorities. We are the voice of the people in Burma and share our solidarity with them. Therefore, our efforts are for the people according to their wishes, dreams and desires.We help these ideas to get a voice that is heard by the general public and the media and that the German government will listen to this voice to use their influence for a fundamental change in Burma.","We have organised some lectures during this year to inform about the situation of the ethnic minorities, the human-rights abuses against them and the decades long civil-wars.Continuously we publish articles and essays to explain the current situation in Burma and inform the media and the German government for a positive change for the people in Burma.",NA,NA
47,Swanyee Development Foundation,https://ngo.mycitizen.net/directory/listing/swanyee-development-foundation,"Environment/Humanitarian Aid/Development Aid/Emergency Relief/Disaster risk reduction (DRR)/Rural Development/Poverty Reduction/Livelihood and Food Security/Environmental Conservation/Water, Sanitation and Hygiene (WASH)",1975,2006,"Bahan, Yangon, Yangon Region, Myanmar","+95 0973040433, +95 098515134",+95 098613657,swanyee@swanyee.org,http://www.swanyee.org,NA,NA,"Assist in crisis or chronic distress, and work toward the development of long term solutions on the basis of community participation.Assist communities, especially poor and vulnerable, by providing infrastructures and capacity enhancing activities addressing basic needs, and other assistance necessary to achieve self-reliance in their lives.Advocate for and assist communities in their management of natural resources effectively and efficiently, and climate change adaption.Promote gender equity and provide equitable assistance to the communities to ensure development of target population in the working area for improving their livelihoods without any form of discrimination.Develop long-term partnership with key stakeholders, where all partners are on equal terms, to achieve sustainable development in communities.",Mangrove Enpowerment And Livelihood Security (MEALs) Project (March2011 to Dec 2013)Costal Livelihood and Environmental Assets Restoration in Rakhine (CLEARR) Project (May 2012- May 2015)Civil Society-Led Community based Livelihood Resource Development inthe Dry Zone Project (June 2011 to May 2014)Building Local Capacities for a Livelihood Systems Approach in the Ayeyarwaddy Delta Project (Sept 2011 to August 2014)Building Community Resilience to coastal hazards in Gwa Township Project (Oct 2012 to Sept 2014)Child-Centred Disaster Risk Reduction in Costal Areas of Myanmar’ Project(March 2013 to April 2016)Community Based Income Generation Activities in Delta Region Project (Sept 2013 to August 2014),NA,NA
48,Burma Border Projects,https://ngo.mycitizen.net/directory/listing/burma-border-projects,Capacity Building/Children/Mental Health/Psychosocial Services,NA,1996,Mae Sot District Tak Thailand,NA,NA,michael@burma-projects.org,http://burmaborderprojects.org,NA,https://www.facebook.com/burmaborderprojects,"Burma Border Projects (BBP) is a non-profit organization dedicated to the mental health and psychosocial well-being of the displaced people from Burma. Our programs address the psychosocial consequences of the trauma associated with human rights abuses and dislocation of Burmese refugees.We are the only organization on the Thai-Burma border whose primary mission is to provide mental health resources, training, and support to strengthen the skills of local community-based organizations and individuals. Since 2008, BBP has also supported the efforts of community based organizations to improve the reproductive health of adolescents and adults on both sides of the Thai-Burma border. We work in culturally-appropriate and collaborative ways in order to empower communities.","Burma Border Projects provides training, technical advising, and program development support to the Mae Tao Clinic and Karen Department of Health and Welfare in the areas of mental health, psychosocial well being and child protection, while also supporting child protection efforts and children’s psychosocial services at various boarding schools in the Mae Sot area. We are excited to begin a new partnership with the Kachin Women’s Association Thailand by offering mental health training to their health workers.",NA,NA
49,Assistance Association for Political Prisoners (Burma),https://ngo.mycitizen.net/directory/listing/assistance-association-for-political-prisoners-burma,Advocacy/Political Prisoners/Human Rights,NA,2000,"PO Box 93, Mae Sot, Tak Province, 63110 Thailand",NA,NA,info@aappb.org,http://www.aappb.org,NA,NA,"The Assistance Association for Political Prisoners (AAPP) is a human rights organization based in Mae Sot, Thailand that works for the release of all political prisoners and for the improvement of prison conditions inside Burma.","Reports, publications, public campaigns and awareness raising.",NA,NA
50,Burma Center Prague,https://ngo.mycitizen.net/directory/listing/burma-center-prague,Advocacy/Capacity Building/Refugees/Information and Communication Technologies for Development (ICT4D)/Tourism,27595323,2006,"Dělnická 54, Prague, Czech Republic",+420-266 710 045,NA,info@burma-center.org,http://www.burma-center.org,http://twitter.com/myanmarburma,https://www.facebook.com/burmacenterprague,"The mission of BCP is to contribute to the democratization of Burma and the respect for human rights. It seeks to improve the lives of people in Burma and Burmese in exileby analyzing the situation in Burma and by informing and involving the European public;by serving as a bridge between Europe and Burma;by providing needed services for Burmese, in particular capacity building and facilitating the integration of refugees; andby supporting the empowerment and active participation of Burmese for the transition of BurmaOur activities emphasize the importance of human rights and the necessity to provide the population with basic tools enabling it to survive and to receive fundamental goods, such as education, health care and legal security. Also it is assumed that genuine democracy and the respect for human rights are preconditions for development and equal distribution of wealth in Burma. We act in accordance with the Universal Declaration of Human Rights of the United Nations and the UN Millennium Development Goals.","Promoting responsible travel to Burma“Microgrants” for Burmese grassrootsCapacity building (project management, media, IT)ICT4D",Barmské centrum Praha,http://www.ecoburma.com | http://www.mikrogranty.cz
